path,file_size,etype,has_interp,n_load,stripped,dynrel_cnt,text_sz,ro_sz,data_sz,text_ratio,ro_ratio,data_ratio,text_entropy,ro_entropy,data_entropy,zeros_ratio_total,zero_runs_16,zero_runs_32,ascii_ratio_rodata,e8_cnt,e9_cnt,ff_calljmp_cnt,eb_cnt,jcc32_cnt,branch_density_per_kb,riprel_estimate,nop_ratio_text,imm64_mov_cnt,align_pad_ratio,ro_ptr_like_cnt,rel32_intext_ratio,rel32_intext_cnt,rel32_disp_entropy8,x_load_cnt,ro_load_cnt,rw_load_cnt,bss_sz,avg_p_align_log2,max_p_align_log2,shnum,sh_exec_cnt,sh_align_avg_log2,dyn_needed_cnt,dynsym_cnt,pltrel_cnt,dynrel_text_cnt,dynrel_text_density_per_kb,ret_cnt,rel_branch_ratio,avg_rel32_abs,max_rel32_abs,rel32_target_unique_cnt,autocorr1_text,max_run00_text,max_run90_text,max_runany_text,stripped_size,code_start,code_end,code_span,ent_raw,ent_bcj,ent_kanzi,autoc1_raw,autoc1_bcj,autoc1_kanzi,entstd_raw,entstd_bcj,entstd_kanzi,diffent_raw,diffent_bcj,diffent_kanzi,lz4_raw,lz4_bcj,lz4_kanzi,lz4hc_raw,lz4hc_bcj,lz4hc_kanzi,kexp,ratio_bcj,ratio_kanzi,delta_eff,comp_gain_k_vs_b_lz4hc,sstrip_in,sstrip_out,sstrip_saved,bcj_filtered_len,kanzi_filtered_len,bcj_stub_size,kanzi_stub_size,bcj_final,bcj_ratio,kanzi_final,kanzi_ratio,bcj_elapsed_s,kanzi_elapsed_s,bcj_maxrss_kb,kanzi_maxrss_kb,winner
"/usr/bin/xterm",910248,3,1,4,0,4782,500553,339104,64268,0.549908,0.372540,0.070605,6.205156,4.805382,2.537925,0.285422,500,38,0.280548,7692,8085,1627,1213,6171,35.604014,2800,0.002595,50,0.025893,2103,0.856120,13507,1.705917,1,2,1,40740,12.000000,12.000000,29,0,0.000000,14,0,394,0,0.000000,3685,0.934363,163797958.202193,2147483643,4096,0.312651,9,2,9,908057,143360,643913,500553,5.691573,5.657652,5.851195,0.458001,0.381276,0.479777,1.597146,1.572843,1.619897,6.529768,6.578586,6.625469,523093,494706,489275,442155,416651,413006,0.002243,0.005960,-0.028045,-0.034005,0.004014,910248,908057,2191,908057,910094,6110,7086,329058,36.2,324893,35.7,336.336,333.130,,,kanziexe
"/usr/bin/rfcomm",27304,3,1,4,0,61,7917,8600,1712,0.289958,0.314972,0.062701,5.902720,4.067445,1.677431,0.363807,54,1,0.328953,220,90,60,38,54,47.856511,83,0.001137,1,0.031325,183,0.922581,286,0.840981,1,2,1,168,12.000000,12.000000,30,0,0.000000,1,0,43,0,0.000000,36,0.870130,92991496.880645,2092367873,90,0.417489,9,1,9,24921,8192,16109,7917,3.968475,3.813518,4.017419,0.631711,0.497678,0.664648,2.379708,2.267120,2.393328,4.581492,4.569933,4.584551,11262,10753,10740,10252,9567,9539,0.000923,0.039047,-0.012333,-0.051380,0.001124,27304,24921,2383,24921,24944,6110,7086,13638,49.9,14598,53.5,3.922,3.522,,,bcj
"/usr/bin/pdfattach",18752,3,1,4,0,28,3757,6024,1184,0.200352,0.321246,0.063140,5.969435,4.113476,1.575576,0.385748,39,2,0.359230,77,60,41,10,33,48.515305,48,0.002662,0,0.033804,146,0.883212,121,1.060585,1,2,1,64,12.000000,12.000000,30,0,0.000000,3,0,30,0,0.000000,26,0.814480,86555624.547445,2109895864,71,0.378204,9,1,9,16394,8192,11949,3757,3.580527,3.492825,3.640251,0.641411,0.538740,0.670807,2.224204,2.158589,2.273127,4.124206,4.125454,4.154690,6691,6515,6506,6118,5905,5881,0.001525,0.024494,-0.016680,-0.041174,0.001464,18752,16394,2358,16394,16419,6110,7086,10853,57.9,11835,63.1,2.371,2.269,,,bcj
"/usr/bin/wimapply",85040,3,1,4,0,230,33357,31268,7316,0.392251,0.367686,0.086030,5.951265,4.998258,1.358563,0.235621,95,1,0.522227,691,470,201,103,459,41.810954,473,0.002308,12,0.027011,329,0.926787,1076,0.816984,1,2,1,284,12.000000,12.000000,31,0,0.000000,2,0,86,0,0.000000,175,0.895530,84993950.131783,2062558331,341,0.399607,9,1,9,82628,16384,49741,33357,5.046585,4.946651,5.155635,0.610328,0.551966,0.633090,1.992330,1.952349,2.024667,5.612276,5.624056,5.650354,41706,39562,39324,35804,33922,33617,0.000823,0.019802,-0.021609,-0.041411,0.003691,85040,82628,2412,82628,82696,6110,7086,32825,38.6,33521,39.4,13.118,10.433,,,bcj
"/usr/bin/xvidtune",45320,3,1,4,0,89,15517,15156,6688,0.342387,0.334422,0.147573,5.988858,4.615844,0.674701,0.310827,73,1,0.391264,446,152,107,33,87,46.524457,296,0.001998,2,0.015338,271,0.906355,542,1.063177,1,2,1,584,12.000000,12.000000,31,0,0.000000,6,0,65,0,0.000000,92,0.870303,89193965.163880,1996488704,169,0.370670,9,1,9,42889,12288,27805,15517,4.489531,4.346490,4.534948,0.590110,0.482098,0.620951,2.189566,2.099973,2.192698,5.142331,5.136197,5.154941,20086,18933,18954,17956,16556,16587,0.000933,0.031861,-0.010116,-0.041977,-0.000723,45320,42889,2431,42889,42929,6110,7086,18762,41.4,19779,43.6,6.975,5.139,,,bcj
"/usr/bin/llvm-as-14",31552,2,1,2,0,18,24568,0,1312,0.778651,0.000000,0.041582,5.737211,0.000000,2.031788,0.286999,75,2,0.000000,221,94,108,43,30,17.630739,125,0.002117,14,0.176856,0,0.895238,282,1.281810,1,0,1,1936,12.000000,12.000000,32,0,0.000000,5,80,53,0,0.000000,77,0.782258,108178673.765079,2089549823,123,0.535636,51,4,51,29091,0,24568,24568,5.163203,5.066329,5.215306,0.585531,0.512816,0.623603,1.947500,1.906052,1.940566,5.800879,5.811436,5.814610,13724,13101,13142,12166,11482,11519,0.001100,0.018762,-0.010091,-0.028854,-0.001272,31552,29091,2461,29091,29123,6110,7086,15082,47.8,16122,51.1,2.918,2.877,,,bcj
"/usr/bin/jexec",10520,3,1,2,0,7,4648,0,744,0.441825,0.000000,0.070722,4.717280,0.000000,1.536780,0.453744,25,1,0.000000,43,25,32,4,11,22.030981,20,0.002151,1,0.320568,0,0.970588,66,0.915617,1,0,1,4,12.000000,12.000000,30,0,0.000000,1,20,16,0,0.000000,21,0.721739,14693109.941176,611617100,35,0.568235,43,4,43,8202,0,4648,4648,3.126842,3.056215,3.199768,0.640010,0.546935,0.671320,2.212930,2.127430,2.269395,3.688300,3.702063,3.718003,3445,3360,3362,3141,3020,3018,0.001341,0.022587,-0.023323,-0.045910,0.000244,10520,8202,2318,8202,8213,6110,7086,8717,82.9,9695,92.2,1.017,1.067,,,bcj
"/usr/bin/llvm-addr2line-19",109920,3,1,2,0,368,93840,0,10016,0.853712,0.000000,0.091121,5.848267,0.000000,1.613974,0.266368,201,2,0.000000,807,298,479,248,266,17.284910,210,0.001332,19,0.169746,0,0.887783,981,1.589130,1,0,1,186,12.000000,12.000000,31,0,0.000000,7,0,129,0,0.000000,268,0.771687,105014244.575566,2092433408,424,0.464605,91,4,306,107531,0,93840,93840,5.419392,5.349174,5.493447,0.510505,0.452296,0.521133,1.865632,1.823201,1.888217,6.144996,6.143594,6.168127,54931,52665,52721,46531,44315,44512,0.001218,0.012957,-0.013665,-0.026622,-0.001832,109920,107531,2389,107531,107662,6110,7086,41051,37.3,42119,38.3,16.151,15.289,,,bcj
"/usr/bin/hwloc-diff",14824,3,1,4,0,10,2149,4572,776,0.144968,0.308419,0.052348,5.507328,3.944201,1.635679,0.416307,31,1,0.382983,62,43,30,2,21,64.327594,49,0.001861,0,0.025593,117,0.980952,103,0.574620,1,2,1,72,12.000000,12.000000,30,0,0.000000,2,0,23,0,0.000000,13,0.810127,26365936.600000,1659531960,42,0.430874,9,1,9,12482,4096,6245,2149,3.076678,2.966525,3.127960,0.677607,0.547670,0.722852,0.561959,0.426930,0.613000,3.570911,3.579604,3.595541,4461,4308,4313,4019,3808,3821,0.000881,0.035803,-0.016668,-0.052471,-0.001041,14824,12482,2342,12482,12493,6110,7086,9231,62.3,10191,68.7,1.368,1.268,,,bcj
"/usr/bin/systemd-detect-virt",18808,3,1,4,0,23,2069,5776,1144,0.110006,0.307103,0.060825,5.635881,4.033985,1.516516,0.430338,38,1,0.385734,46,45,37,6,31,63.350411,30,0.001933,0,0.022716,140,0.945055,86,0.434621,1,2,1,96,12.000000,12.000000,31,0,0.000000,2,0,28,0,0.000000,11,0.775758,42686740.769231,1547787611,46,0.456624,9,1,9,16386,8192,10261,2069,2.766406,2.692067,2.811490,0.694009,0.588992,0.717865,1.561379,1.528052,1.585520,3.221877,3.232412,3.250991,5374,5264,5233,4851,4698,4654,0.000793,0.026872,-0.016297,-0.043169,0.002685,18808,16386,2422,16386,16399,6110,7086,9889,52.6,10849,57.7,2.175,2.084,,,bcj
