path,file_size,etype,has_interp,n_load,stripped,dynrel_cnt,text_sz,ro_sz,data_sz,text_ratio,ro_ratio,data_ratio,text_entropy,ro_entropy,data_entropy,zeros_ratio_total,zero_runs_16,zero_runs_32,ascii_ratio_rodata,e8_cnt,e9_cnt,ff_calljmp_cnt,eb_cnt,jcc32_cnt,branch_density_per_kb,riprel_estimate,nop_ratio_text,imm64_mov_cnt,align_pad_ratio,ro_ptr_like_cnt,rel32_intext_ratio,rel32_intext_cnt,rel32_disp_entropy8,x_load_cnt,ro_load_cnt,rw_load_cnt,bss_sz,avg_p_align_log2,max_p_align_log2,shnum,sh_exec_cnt,sh_align_avg_log2,dyn_needed_cnt,dynsym_cnt,pltrel_cnt,dynrel_text_cnt,dynrel_text_density_per_kb,ret_cnt,rel_branch_ratio,avg_rel32_abs,max_rel32_abs,rel32_target_unique_cnt,autocorr1_text,max_run00_text,max_run90_text,max_runany_text,stripped_size,code_start,code_end,code_span,ent_raw,ent_bcj,ent_kanzi,autoc1_raw,autoc1_bcj,autoc1_kanzi,entstd_raw,entstd_bcj,entstd_kanzi,diffent_raw,diffent_bcj,diffent_kanzi,lz4_raw,lz4_bcj,lz4_kanzi,lz4hc_raw,lz4hc_bcj,lz4hc_kanzi,kexp,ratio_bcj,ratio_kanzi,delta_eff,comp_gain_k_vs_b_lz4hc,sstrip_in,sstrip_out,sstrip_saved,bcj_filtered_len,kanzi_filtered_len,bcj_stub_size,kanzi_stub_size,bcj_final,bcj_ratio,kanzi_final,kanzi_ratio,bcj_elapsed_s,kanzi_elapsed_s,bcj_maxrss_kb,kanzi_maxrss_kb,winner
"/usr/bin/toilet",27736,3,1,4,0,55,5773,10296,1712,0.208141,0.371214,0.061725,6.014943,4.361214,1.651492,0.351484,54,1,0.366647,127,96,66,17,25,51.262082,66,0.003291,2,0.047462,193,0.937220,209,0.930947,1,2,1,56,12.000000,12.000000,30,0,0.000000,2,0,46,0,0.000000,54,0.800604,59357306.286996,1991720447,86,0.391233,9,1,9,25433,8192,13965,5773,3.833947,3.738995,3.884001,0.637977,0.557442,0.668952,2.164724,2.104163,2.168528,4.378327,4.380559,4.393555,10742,10464,10422,9679,9285,9253,0.000747,0.024766,-0.013056,-0.037822,0.001258,27736,25433,2303,,,,,19359,76.1,19111,75.1,0.758,0.705,,,kanziexe
"/usr/bin/pnmstitch",35448,3,1,4,0,59,14205,8288,1536,0.400728,0.233807,0.043331,6.213557,4.252370,1.609881,0.278042,37,1,0.302727,146,120,64,47,101,23.788807,104,0.002957,2,0.034636,157,0.785714,209,1.944694,1,2,1,72,12.000000,12.000000,27,0,0.000000,3,0,28,0,0.000000,131,0.866109,209206215.045113,2039169281,147,0.250769,9,1,9,33386,8192,22397,14205,4.410213,4.344973,4.478163,0.524522,0.465771,0.551002,2.446842,2.413753,2.478032,5.080854,5.077230,5.104730,16759,16433,16411,15432,15045,15054,0.001558,0.014793,-0.015407,-0.030200,-0.000270,35448,33386,2062,,,,,23978,71.8,23739,71.1,0.854,0.856,,,kanziexe
"/usr/bin/ipcmk",35200,3,1,4,0,18,12905,10200,1348,0.366619,0.289773,0.038295,6.123425,4.284120,1.723725,0.306990,72,1,0.278137,250,129,114,60,116,39.119101,78,0.003332,5,0.042154,249,0.894459,339,1.085611,1,2,1,92,12.000000,12.000000,31,0,0.000000,2,0,64,0,0.000000,121,0.829596,103155679.920844,2084075192,153,0.381354,9,1,9,32785,8192,21097,12905,4.412135,4.303323,4.490755,0.604464,0.513782,0.639764,2.422703,2.370252,2.435186,5.075207,5.073548,5.102290,15553,15041,14960,14141,13474,13435,0.001159,0.024662,-0.017819,-0.042481,0.001190,35200,32785,2415,,,,,22625,69.0,22339,68.1,0.904,0.854,,,kanziexe
"/usr/bin/hwloc-info",52216,3,1,4,0,10,24765,18936,1304,0.474280,0.362647,0.024973,5.942623,4.855541,1.917750,0.238072,96,1,0.603401,591,321,111,52,323,42.299697,407,0.001454,3,0.010055,329,0.919956,839,0.951647,1,2,1,80,12.000000,12.000000,30,0,0.000000,2,0,86,0,0.000000,75,0.920601,92103538.169956,2097151983,257,0.386202,9,1,9,49880,8192,32957,24765,5.456190,5.270670,5.528694,0.529179,0.410563,0.571371,1.724439,1.652171,1.722963,6.166286,6.149634,6.171790,27650,25964,25694,24449,22481,22246,0.001103,0.034002,-0.013288,-0.047290,0.004711,52216,49880,2336,,,,,29543,59.2,29163,58.5,0.606,0.604,,,kanziexe
"/usr/bin/fonttosfnt",35240,3,1,2,0,9,31200,0,956,0.885358,0.000000,0.027128,6.115658,0.000000,1.750608,0.209840,47,1,0.000000,536,165,140,82,217,27.602051,179,0.001699,8,0.099679,0,0.910128,638,1.150480,1,0,1,92,21.000000,21.000000,28,0,0.000000,4,0,39,0,0.000000,165,0.877193,78804775.172611,2092417419,214,0.444564,43,1,43,33137,0,31200,31200,5.914749,5.779038,6.002196,0.471180,0.383462,0.507837,1.284135,1.229293,1.287790,6.729668,6.721626,6.748983,22162,20982,20730,20207,18838,18715,0.001660,0.022945,-0.014785,-0.037729,0.003712,35240,33137,2103,,,,,26914,81.2,26628,80.4,0.354,0.355,,,kanziexe
"/usr/bin/dmesg",88656,3,1,4,0,194,37193,27200,12532,0.419520,0.306804,0.141355,6.138908,4.564691,0.803864,0.282375,131,10,0.350000,828,434,217,178,444,40.719920,432,0.002823,8,0.026080,486,0.891442,1125,1.434160,1,2,1,1036,12.000000,12.000000,30,0,0.000000,2,0,113,0,0.000000,267,0.896716,138957605.342314,2097151815,455,0.338301,9,1,9,86305,16384,53577,37193,4.756447,4.631625,4.854563,0.553578,0.458853,0.582926,2.321370,2.257453,2.323968,5.422909,5.425461,5.450714,44339,42118,41711,38824,36596,36425,0.001495,0.026243,-0.020628,-0.046871,0.001981,88656,86305,2351,,,,,39865,46.2,39558,45.8,1.362,1.306,,,kanziexe
"/usr/bin/xfontsel",45552,3,1,4,0,151,17549,15632,5536,0.385252,0.343168,0.121531,6.183117,4.058830,0.902955,0.337814,97,2,0.272134,312,182,135,58,131,36.702718,181,0.003191,4,0.028606,342,0.892713,441,1.008512,1,2,1,808,12.000000,12.000000,30,0,0.000000,5,0,79,0,0.000000,150,0.834963,116519404.036437,2089633793,215,0.345707,9,1,9,43210,12288,29837,17549,4.619689,4.506564,4.680651,0.552683,0.453947,0.584381,2.075607,2.017393,2.072055,5.338218,5.348321,5.377466,22828,22244,22140,20490,19743,19722,0.001111,0.024488,-0.013196,-0.037684,0.000486,45552,43210,2342,,,,,27517,63.7,27209,63.0,0.755,0.763,,,kanziexe
"/usr/bin/m2400w",33728,3,1,4,0,17,12781,7704,3320,0.378943,0.228416,0.098435,6.110576,4.873551,1.928613,0.242812,25,1,0.540628,216,107,39,30,121,29.003051,277,0.001174,1,0.045693,106,0.842105,272,1.537949,1,2,1,688,12.000000,12.000000,29,0,0.000000,1,0,17,0,0.000000,74,0.923977,198571903.374613,2147483628,130,0.292081,9,1,9,31450,4096,16877,12781,4.538009,4.440318,4.593728,0.543882,0.454472,0.588528,2.274170,2.211213,2.238548,5.094603,5.087706,5.104469,15016,14457,14422,13728,13078,13016,0.002226,0.021527,-0.012278,-0.033806,0.001971,33728,31450,2278,,,,,22555,71.7,22288,70.9,0.656,0.704,,,kanziexe
"/usr/bin/iostat",51576,3,1,4,0,11,32333,12056,1224,0.626900,0.233752,0.023732,6.123962,4.912401,2.019671,0.227038,69,1,0.422279,525,336,111,65,386,30.783658,280,0.002691,0,0.012217,250,0.864111,744,1.511136,1,2,1,27296,12.000000,12.000000,29,0,0.000000,1,0,58,0,0.000000,250,0.921996,138821826.662021,2146136797,386,0.315821,9,1,9,49304,8192,40525,32333,5.704039,5.564725,5.793145,0.435902,0.337087,0.474269,1.703178,1.647607,1.728799,6.512330,6.502761,6.533589,30157,29075,28812,26797,25466,25332,0.001947,0.024424,-0.015621,-0.040045,0.002718,51576,49304,2272,,,,,31901,64.7,31588,64.1,0.604,0.605,,,kanziexe
"/usr/bin/ppmcie",26744,3,1,4,0,16,9553,8552,1408,0.357202,0.319773,0.052647,6.132014,5.547304,3.583307,0.263242,27,2,0.320042,157,74,29,17,60,27.869779,106,0.001570,0,0.014236,228,0.696970,161,2.462496,1,2,1,32,12.000000,12.000000,28,0,0.000000,3,0,14,0,0.000000,80,0.913947,293557779.714286,2131594568,114,0.217239,9,1,9,24680,4096,13649,9553,5.081462,5.014421,5.113208,0.445089,0.393075,0.468088,1.957477,1.926323,1.914784,5.644678,5.652789,5.656325,13026,12764,12715,12108,11764,11715,0.002877,0.013193,-0.006247,-0.019441,0.001985,26744,24680,2064,,,,,21835,88.5,21590,87.5,0.555,0.557,,,kanziexe
"/usr/bin/qemu-system-tricore",7705216,3,1,4,0,41795,3253221,3598344,844320,0.422210,0.467001,0.109578,6.358934,4.986594,1.964725,0.282164,1652,97,0.389955,84038,27421,12427,9199,30418,38.994973,39057,0.002711,1013,0.031068,42354,0.878386,97904,2.091959,1,2,1,192024,12.000000,12.000000,31,0,0.000000,30,0,879,0,0.000000,25246,0.923995,129322564.433882,2147483648,4096,0.303282,9,2,9,7702787,1847296,5100517,3253221,5.631663,5.603708,5.743230,0.481877,0.439045,0.526403,1.881901,1.851478,1.911736,6.418982,6.452110,6.486590,3834486,3596352,3586653,3057770,2845972,2849279,0.001513,0.004964,-0.019811,-0.024775,-0.000429,7705216,7702787,2429,,,,,1948000,25.3,1959736,25.4,36.360,36.495,,,bcj
