path,file_size,etype,has_interp,n_load,stripped,dynrel_cnt,text_sz,ro_sz,data_sz,text_ratio,ro_ratio,data_ratio,text_entropy,ro_entropy,data_entropy,zeros_ratio_total,zero_runs_16,zero_runs_32,ascii_ratio_rodata,e8_cnt,e9_cnt,ff_calljmp_cnt,eb_cnt,jcc32_cnt,branch_density_per_kb,riprel_estimate,nop_ratio_text,imm64_mov_cnt,align_pad_ratio,ro_ptr_like_cnt,rel32_intext_ratio,rel32_intext_cnt,rel32_disp_entropy8,x_load_cnt,ro_load_cnt,rw_load_cnt,bss_sz,avg_p_align_log2,max_p_align_log2,shnum,sh_exec_cnt,sh_align_avg_log2,dyn_needed_cnt,dynsym_cnt,pltrel_cnt,dynrel_text_cnt,dynrel_text_density_per_kb,ret_cnt,rel_branch_ratio,avg_rel32_abs,max_rel32_abs,rel32_target_unique_cnt,autocorr1_text,max_run00_text,max_run90_text,max_runany_text,stripped_size,code_start,code_end,code_span,ent_raw,ent_bcj,ent_kanzi,autoc1_raw,autoc1_bcj,autoc1_kanzi,entstd_raw,entstd_bcj,entstd_kanzi,diffent_raw,diffent_bcj,diffent_kanzi,lz4_raw,lz4_bcj,lz4_kanzi,lz4hc_raw,lz4hc_bcj,lz4hc_kanzi,kexp,ratio_bcj,ratio_kanzi,delta_eff,comp_gain_k_vs_b_lz4hc,sstrip_in,sstrip_out,sstrip_saved,bcj_filtered_len,kanzi_filtered_len,bcj_stub_size,kanzi_stub_size,bcj_final,bcj_ratio,kanzi_final,kanzi_ratio,bcj_elapsed_s,kanzi_elapsed_s,bcj_maxrss_kb,kanzi_maxrss_kb,winner
"/usr/sbin/chcpu",47416,3,1,4,0,21,22985,15016,1536,0.484752,0.316686,0.032394,6.018803,4.618959,1.745639,0.274861,93,2,0.314465,530,196,156,98,171,39.293800,194,0.003872,2,0.022884,324,0.915978,665,1.113818,1,2,1,72,12.000000,12.000000,30,0,0.000000,1,0,81,0,0.000000,232,0.864466,72164163.370523,2091456381,254,0.380712,9,1,9,45066,8192,31177,22985,5.177031,5.043127,5.272388,0.542210,0.442924,0.586311,1.879820,1.819788,1.908688,5.943702,5.933615,5.967171,23078,21969,21914,20657,19280,19321,0.001220,0.025865,-0.018419,-0.044284,-0.000910,47416,45066,2350,,,,,32300,71.7,31943,70.9,0.004,0.007,,,kanziexe
"/usr/sbin/lpmove",14576,3,1,4,0,10,2233,4528,856,0.153197,0.310648,0.058727,5.672313,3.648116,1.611121,0.455554,39,1,0.300133,55,41,37,3,20,60.990596,31,0.001791,0,0.032244,136,0.927083,89,0.707167,1,2,1,8,12.000000,12.000000,29,0,0.000000,2,0,29,0,0.000000,20,0.762821,49510216.760417,1872314389,48,0.423181,9,1,9,12298,4096,6329,2233,3.018543,2.918286,3.067691,0.645266,0.513006,0.689546,0.769205,0.643670,0.814249,3.572614,3.581755,3.598091,4591,4473,4457,4157,3985,3969,0.001138,0.033214,-0.016282,-0.049496,0.001301,14576,12298,2278,,,,,9957,81.0,9730,79.1,0.003,0.006,,,kanziexe
"/usr/sbin/groupmems",67920,3,1,4,0,130,29033,23072,5804,0.427459,0.339694,0.085453,5.940438,4.460731,1.149197,0.314615,127,1,0.310160,884,329,189,116,244,49.448834,359,0.003065,1,0.032756,443,0.944765,1146,1.176662,1,2,1,548,12.000000,12.000000,29,0,0.000000,5,0,115,0,0.000000,311,0.892736,60899651.521847,2096963453,393,0.378722,9,1,9,65652,12288,41321,29033,4.791695,4.644119,4.873458,0.557883,0.452080,0.608887,2.126401,2.043495,2.119340,5.531366,5.531569,5.553819,34997,32576,32455,30378,28061,27997,0.001036,0.030798,-0.017064,-0.047862,0.000975,67920,65652,2268,,,,,45615,69.5,44877,68.4,0.005,0.007,,,kanziexe
"/usr/sbin/sm-notify",80392,3,1,4,0,31,40709,25768,5968,0.506381,0.320529,0.074236,6.052940,4.930457,0.724989,0.238564,136,1,0.421414,1129,404,249,196,400,44.824683,348,0.002579,4,0.027660,455,0.888454,1362,1.734589,1,2,1,8864,12.000000,12.000000,30,0,0.000000,3,0,118,0,0.000000,334,0.895290,138124907.008480,2147483648,492,0.352441,9,1,9,78025,12288,52997,40709,5.377388,5.232282,5.468292,0.520158,0.410877,0.565113,2.062139,1.986053,2.076852,6.161460,6.150602,6.187203,44342,41423,41216,37982,35105,34980,0.001935,0.026985,-0.016905,-0.043889,0.001602,80392,78025,2367,,,,,56297,72.2,55356,70.9,0.005,0.008,,,kanziexe
"/usr/sbin/dumpe2fs",31040,3,1,4,0,16,10925,11332,1352,0.351965,0.365077,0.043557,5.848491,4.215967,1.828411,0.338321,91,1,0.404342,312,169,105,34,102,54.925767,184,0.001739,0,0.017941,305,0.925156,445,0.956420,1,2,1,104,12.000000,12.000000,30,0,0.000000,5,0,82,0,0.000000,66,0.854571,79279375.426195,2062558331,180,0.424113,9,1,9,28690,8192,19117,10925,4.564532,4.388533,4.630481,0.612988,0.480649,0.664563,1.886198,1.788132,1.904397,5.289262,5.272662,5.297803,14845,14132,14033,13306,12343,12320,0.000802,0.038558,-0.014448,-0.053006,0.000802,31040,28690,2350,,,,,21997,76.7,21592,75.3,0.003,0.004,,,kanziexe
"/usr/sbin/partclone.exfat",113920,3,1,4,0,50,69001,36104,2592,0.605697,0.316924,0.022753,6.193066,5.238182,1.742523,0.196356,119,2,0.541103,1633,628,294,177,660,37.917132,584,0.002232,30,0.021116,446,0.890314,2013,1.684730,1,2,1,2488,12.000000,12.000000,31,0,0.000000,4,0,110,0,0.000000,447,0.913325,102848952.619195,2129182769,733,0.334861,9,1,9,111501,12288,81289,69001,6.016232,5.917897,6.131656,0.446679,0.378804,0.484804,1.348600,1.301796,1.371564,6.757094,6.747134,6.784600,72975,68570,68383,62568,58437,58322,0.002063,0.016345,-0.019186,-0.035530,0.001031,113920,111501,2419,,,,,90164,80.9,89324,80.1,0.007,0.011,,,kanziexe
"/usr/sbin/sudo_logsrvd",250440,3,1,4,0,414,158945,76572,11000,0.634663,0.305750,0.043923,6.184701,5.170768,1.916821,0.212350,239,2,0.410738,3996,1374,660,381,1473,38.848155,1432,0.001969,17,0.023291,966,0.920670,4944,1.086987,1,2,1,144,12.000000,12.000000,30,0,0.000000,3,0,203,0,0.000000,964,0.916286,76345508.495717,2147320641,1333,0.319567,9,1,9,248091,24576,183521,158945,6.001318,5.853331,6.112029,0.422516,0.335420,0.464133,1.292281,1.234894,1.326378,6.836750,6.812959,6.852416,148922,137123,136366,122928,111736,111212,0.001358,0.024659,-0.018448,-0.043107,0.002112,250440,248091,2349,,,,,173864,70.1,171521,69.1,0.013,0.015,,,kanziexe
"/usr/sbin/partprobe",14648,3,1,4,0,17,1801,4848,992,0.122952,0.330967,0.067723,5.605967,3.741600,1.493975,0.469845,34,1,0.306106,48,32,32,8,4,63.680178,32,0.002221,0,0.033315,134,0.975000,78,0.422974,1,2,1,88,12.000000,12.000000,30,0,0.000000,2,0,25,0,0.000000,16,0.741935,34633035.662500,1547787611,37,0.432527,9,1,9,12298,4096,5897,1801,2.919060,2.827130,2.948325,0.669227,0.548925,0.699802,0.391675,0.314539,0.411294,3.482545,3.494650,3.500520,4594,4492,4481,4107,3936,3937,0.000894,0.031493,-0.010026,-0.041519,-0.000081,14648,12298,2350,,,,,9856,80.1,9656,78.5,0.003,0.004,,,kanziexe
"/usr/sbin/airventriloquist-ng",88376,3,1,4,0,31,50093,27056,1888,0.566817,0.306146,0.021363,6.319807,5.496299,1.833557,0.206198,119,5,0.424120,1000,331,206,148,467,31.419320,521,0.001857,18,0.016909,414,0.874530,1164,1.402332,1,2,1,25200,12.000000,12.000000,30,0,0.000000,3,0,101,0,0.000000,408,0.904275,113379822.672427,2092826625,431,0.280783,9,1,9,86027,12288,62381,50093,5.881121,5.770777,5.946378,0.429849,0.352686,0.462284,1.762428,1.731299,1.751981,6.581552,6.568728,6.608777,57232,54568,54362,50327,47753,47557,0.001744,0.018762,-0.011096,-0.029858,0.002278,88376,86027,2349,,,,,71813,83.5,70868,82.4,0.005,0.007,,,kanziexe
"/usr/sbin/devlink",226280,3,1,4,0,164,138361,62496,18032,0.611459,0.276189,0.079689,6.192172,5.251531,0.605939,0.204419,196,33,0.419819,3447,1138,511,491,1568,37.715136,1539,0.002783,51,0.024805,824,0.921047,4223,1.415285,1,2,1,19888,12.000000,12.000000,30,0,0.000000,3,0,149,0,0.000000,952,0.928581,84144937.668920,2147483257,1190,0.342613,9,2,9,223843,16384,154745,138361,5.786417,5.649017,5.915078,0.475309,0.404026,0.531848,1.704021,1.643075,1.726042,6.577817,6.560341,6.612313,123710,113297,112198,104118,94242,93461,0.001434,0.023745,-0.022235,-0.045980,0.003489,226280,223843,2437,,,,,146951,65.6,143985,64.3,0.011,0.012,,,kanziexe
"/usr/sbin/fsck",55664,3,1,4,0,21,27561,19064,1780,0.495132,0.342483,0.031978,6.100043,4.513597,1.959624,0.283303,140,1,0.333141,693,303,210,107,296,44.807663,240,0.002975,8,0.029135,455,0.912651,909,0.965620,1,2,1,764,12.000000,12.000000,30,0,0.000000,3,0,131,0,0.000000,213,0.869484,90412835.240964,2084075192,353,0.380145,9,1,9,53313,12288,39849,27561,5.318432,5.171099,5.396518,0.542989,0.434082,0.583536,1.890301,1.822213,1.883686,6.059533,6.061652,6.096525,31486,30049,29790,28064,26293,26191,0.001426,0.027702,-0.014682,-0.042385,0.001913,55664,53313,2351,,,,,42081,78.9,41329,77.5,0.005,0.005,,,kanziexe
"/usr/sbin/dmidecode",130216,3,1,4,0,1277,40477,65968,14480,0.310845,0.506604,0.111200,6.260210,4.642941,2.668661,0.317535,45,1,0.443548,1133,288,69,196,265,37.694493,1421,0.001112,3,0.001878,213,0.886700,1260,1.952585,1,2,1,264,12.000000,12.000000,30,0,0.000000,1,0,37,0,0.000000,346,0.964634,105461819.440535,2097151950,332,0.219185,9,1,9,127865,36864,77341,40477,5.122278,5.108369,5.223881,0.446115,0.412388,0.510677,1.819272,1.786347,1.857823,5.970744,5.988597,5.993570,67513,64157,63651,60224,56827,56241,0.001243,0.002716,-0.019835,-0.022551,0.004583,130216,127865,2351,,,,,85713,67.0,84427,66.0,0.007,0.007,,,kanziexe
