path,file_size,etype,has_interp,n_load,stripped,dynrel_cnt,text_sz,ro_sz,data_sz,text_ratio,ro_ratio,data_ratio,text_entropy,ro_entropy,data_entropy,zeros_ratio_total,zero_runs_16,zero_runs_32,ascii_ratio_rodata,e8_cnt,e9_cnt,ff_calljmp_cnt,eb_cnt,jcc32_cnt,branch_density_per_kb,riprel_estimate,nop_ratio_text,imm64_mov_cnt,align_pad_ratio,ro_ptr_like_cnt,rel32_intext_ratio,rel32_intext_cnt,rel32_disp_entropy8,x_load_cnt,ro_load_cnt,rw_load_cnt,bss_sz,avg_p_align_log2,max_p_align_log2,shnum,sh_exec_cnt,sh_align_avg_log2,dyn_needed_cnt,dynsym_cnt,pltrel_cnt,dynrel_text_cnt,dynrel_text_density_per_kb,ret_cnt,rel_branch_ratio,avg_rel32_abs,max_rel32_abs,rel32_target_unique_cnt,autocorr1_text,max_run00_text,max_run90_text,max_runany_text,stripped_size,code_start,code_end,code_span,ent_raw,ent_bcj,ent_kanzi,autoc1_raw,autoc1_bcj,autoc1_kanzi,entstd_raw,entstd_bcj,entstd_kanzi,diffent_raw,diffent_bcj,diffent_kanzi,lz4_raw,lz4_bcj,lz4_kanzi,lz4hc_raw,lz4hc_bcj,lz4hc_kanzi,kexp,ratio_bcj,ratio_kanzi,delta_eff,comp_gain_k_vs_b_lz4hc,sstrip_in,sstrip_out,sstrip_saved,bcj_filtered_len,kanzi_filtered_len,bcj_stub_size,kanzi_stub_size,bcj_final,bcj_ratio,kanzi_final,kanzi_ratio,bcj_elapsed_s,kanzi_elapsed_s,bcj_maxrss_kb,kanzi_maxrss_kb,winner
"/usr/bin/transform",15336,3,1,4,0,28,2309,5700,1328,0.150561,0.371674,0.086594,5.743559,4.044987,1.462175,0.400924,34,1,0.370526,52,46,32,0,6,57.652663,36,0.001299,0,0.035946,129,0.979592,96,0.245972,1,2,1,88,12.000000,12.000000,30,0,0.000000,4,0,24,0,0.000000,20,0.764706,16302078.316327,1207959566,37,0.406591,9,1,9,12953,4096,6405,2309,3.508544,3.408243,3.542829,0.673953,0.567153,0.693180,0.526037,0.387176,0.542588,4.034478,4.048439,4.051242,5279,5111,5114,4729,4524,4539,0.000926,0.028588,-0.009772,-0.038360,-0.001158,15336,12953,2383,12953,12965,4631,5537,8201,53.5,9127,59.5,1.156,1.154,,,bcj
"/usr/bin/pnmtoxwd",14280,3,1,4,0,9,3653,3588,760,0.255812,0.251261,0.053221,5.902344,3.596372,1.601525,0.369424,27,1,0.296265,75,45,27,6,36,41.206679,26,0.002464,0,0.024364,104,0.900000,108,0.794159,1,2,1,16,12.000000,12.000000,27,0,0.000000,2,0,19,0,0.000000,19,0.857143,92657127.016667,1992163535,49,0.386165,9,1,9,12298,4096,7749,3653,3.542421,3.439650,3.597696,0.648248,0.548729,0.680102,2.065449,1.959277,2.113176,4.151254,4.153847,4.173768,5356,5180,5155,4942,4707,4677,0.001220,0.029011,-0.015604,-0.044615,0.002439,14280,12298,1982,12298,12313,4631,5537,8511,59.6,9404,65.9,0.904,0.908,,,bcj
"/usr/bin/toilet",27736,3,1,4,0,55,5773,10296,1712,0.208141,0.371214,0.061725,6.014943,4.361214,1.651492,0.351484,54,1,0.366647,127,96,66,17,25,51.262082,66,0.003291,2,0.047462,193,0.937220,209,0.930947,1,2,1,56,12.000000,12.000000,30,0,0.000000,2,0,46,0,0.000000,54,0.800604,59357306.286996,1991720447,86,0.391233,9,1,9,25433,8192,13965,5773,3.833947,3.738995,3.884001,0.637977,0.557442,0.668952,2.164724,2.104163,2.168528,4.378327,4.380559,4.393555,10742,10464,10422,9679,9285,9253,0.000747,0.024766,-0.013056,-0.037822,0.001258,27736,25433,2303,25433,25452,4631,5537,11724,42.3,12619,45.5,6.868,6.413,,,bcj
"/usr/bin/pnmstitch",35448,3,1,4,0,59,14205,8288,1536,0.400728,0.233807,0.043331,6.213557,4.252370,1.609881,0.278042,37,1,0.302727,146,120,64,47,101,23.788807,104,0.002957,2,0.034636,157,0.785714,209,1.944694,1,2,1,72,12.000000,12.000000,27,0,0.000000,3,0,28,0,0.000000,131,0.866109,209206215.045113,2039169281,147,0.250769,9,1,9,33386,8192,22397,14205,4.410213,4.344973,4.478163,0.524522,0.465771,0.551002,2.446842,2.413753,2.478032,5.080854,5.077230,5.104730,16759,16433,16411,15432,15045,15054,0.001558,0.014793,-0.015407,-0.030200,-0.000270,35448,33386,2062,33386,33438,4631,5537,16370,46.2,17262,48.7,11.129,10.824,,,bcj
"/usr/bin/mdatopbm",14280,3,1,4,0,10,2733,3716,768,0.191387,0.260224,0.053782,5.817080,3.637623,1.599539,0.425802,28,1,0.280947,46,44,29,10,30,44.586901,39,0.001829,0,0.046835,106,0.911111,82,0.883480,1,2,1,248,12.000000,12.000000,27,0,0.000000,2,0,20,0,0.000000,16,0.817610,119234981.377778,2013084673,48,0.381533,9,1,9,12298,4096,6829,2733,3.048787,2.963923,3.103798,0.625735,0.504437,0.662579,1.375771,1.285515,1.431161,3.622489,3.635651,3.644206,4817,4727,4687,4430,4273,4250,0.001382,0.027835,-0.018044,-0.045879,0.001870,14280,12298,1982,12298,12315,4631,5537,8170,57.2,9071,63.5,0.955,0.904,,,bcj
"/usr/bin/ipcmk",35200,3,1,4,0,18,12905,10200,1348,0.366619,0.289773,0.038295,6.123425,4.284120,1.723725,0.306990,72,1,0.278137,250,129,114,60,116,39.119101,78,0.003332,5,0.042154,249,0.894459,339,1.085611,1,2,1,92,12.000000,12.000000,31,0,0.000000,2,0,64,0,0.000000,121,0.829596,103155679.920844,2084075192,153,0.381354,9,1,9,32785,8192,21097,12905,4.412135,4.303323,4.490755,0.604464,0.513782,0.639764,2.422703,2.370252,2.435186,5.075207,5.073548,5.102290,15553,15041,14960,14141,13474,13435,0.001159,0.024662,-0.017819,-0.042481,0.001190,35200,32785,2415,32785,32823,4631,5537,15023,42.7,15917,45.2,12.677,12.885,,,bcj
"/usr/bin/hwloc-info",52216,3,1,4,0,10,24765,18936,1304,0.474280,0.362647,0.024973,5.942623,4.855541,1.917750,0.238072,96,1,0.603401,591,321,111,52,323,42.299697,407,0.001454,3,0.010055,329,0.919956,839,0.951647,1,2,1,80,12.000000,12.000000,30,0,0.000000,2,0,86,0,0.000000,75,0.920601,92103538.169956,2097151983,257,0.386202,9,1,9,49880,8192,32957,24765,5.456190,5.270670,5.528694,0.529179,0.410563,0.571371,1.724439,1.652171,1.722963,6.166286,6.149634,6.171790,27650,25964,25694,24449,22481,22246,0.001103,0.034002,-0.013288,-0.047290,0.004711,52216,49880,2336,49880,49935,4631,5537,22073,42.3,22858,43.8,30.474,28.857,,,bcj
"/usr/bin/fonttosfnt",35240,3,1,2,0,9,31200,0,956,0.885358,0.000000,0.027128,6.115658,0.000000,1.750608,0.209840,47,1,0.000000,536,165,140,82,217,27.602051,179,0.001699,8,0.099679,0,0.910128,638,1.150480,1,0,1,92,21.000000,21.000000,28,0,0.000000,4,0,39,0,0.000000,165,0.877193,78804775.172611,2092417419,214,0.444564,43,1,43,33137,0,31200,31200,5.914749,5.779038,6.002196,0.471180,0.383462,0.507837,1.284135,1.229293,1.287790,6.729668,6.721626,6.748983,22162,20982,20730,20207,18838,18715,0.001660,0.022945,-0.014785,-0.037729,0.003712,35240,33137,2103,33137,33192,4631,5537,19413,55.1,20279,57.5,10.126,10.079,,,bcj
"/usr/bin/dmesg",88656,3,1,4,0,194,37193,27200,12532,0.419520,0.306804,0.141355,6.138908,4.564691,0.803864,0.282375,131,10,0.350000,828,434,217,178,444,40.719920,432,0.002823,8,0.026080,486,0.891442,1125,1.434160,1,2,1,1036,12.000000,12.000000,30,0,0.000000,2,0,113,0,0.000000,267,0.896716,138957605.342314,2097151815,455,0.338301,9,1,9,86305,16384,53577,37193,4.756447,4.631625,4.854563,0.553578,0.458853,0.582926,2.321370,2.257453,2.323968,5.422909,5.425461,5.450714,44339,42118,41711,38824,36596,36425,0.001495,0.026243,-0.020628,-0.046871,0.001981,88656,86305,2351,86305,86434,4631,5537,32921,37.1,33742,38.1,77.049,74.547,,,bcj
"/usr/bin/xfontsel",45552,3,1,4,0,151,17549,15632,5536,0.385252,0.343168,0.121531,6.183117,4.058830,0.902955,0.337814,97,2,0.272134,312,182,135,58,131,36.702718,181,0.003191,4,0.028606,342,0.892713,441,1.008512,1,2,1,808,12.000000,12.000000,30,0,0.000000,5,0,79,0,0.000000,150,0.834963,116519404.036437,2089633793,215,0.345707,9,1,9,43210,12288,29837,17549,4.619689,4.506564,4.680651,0.552683,0.453947,0.584381,2.075607,2.017393,2.072055,5.338218,5.348321,5.377466,22828,22244,22140,20490,19743,19722,0.001111,0.024488,-0.013196,-0.037684,0.000486,45552,43210,2342,43210,43258,4631,5537,20021,44.0,20920,45.9,24.151,22.544,,,bcj
