Compressor,Average BCJ Ratio (%),Average KanziEXE Ratio (%),Best Ratio (%),Best Filter,Binary Count
shrinkler,43.94,46.82,43.94,BCJ,2038
lzma,46.14,48.91,46.14,BCJ,2067
zx0,46.61,49.39,46.61,BCJ,1488
apultra,46.72,49.39,46.72,BCJ,2067
zx7b,47.82,50.46,47.82,BCJ,2060
blz,48.18,51.21,48.18,BCJ,2064
exo,49.72,52.66,49.72,BCJ,1559
doboz,50.31,53.02,50.31,BCJ,2067
lzsa2,50.65,51.81,50.65,BCJ,2071
pp,51.43,53.94,51.43,BCJ,2067
stcr,51.45,53.72,51.45,BCJ,2071
lz4,51.73,54.41,51.73,BCJ,2067
zstd,51.89,52.52,51.89,BCJ,876
qlz,52.12,54.67,52.12,BCJ,2067
lzav,58.37,61.19,58.37,BCJ,2067
snappy,64.0,66.86,64.0,BCJ,2067
