Range,Rank,Compressor,Average Ratio (%),Binary Count
<20KB,1,zx0,53.27,519
<20KB,2,zx7b,53.44,624
<20KB,3,shrinkler,53.7,624
<20KB,4,blz,54.7,624
<20KB,5,lz4,56.78,624
<20KB,6,apultra,57.68,624
<20KB,7,doboz,58.14,624
<20KB,8,pp,58.57,624
<20KB,9,qlz,58.59,624
<20KB,10,stcr,59.9,625
20-200KB,1,shrinkler,41.76,1070
20-200KB,2,zx0,43.22,939
20-200KB,3,lzma,43.56,1070
20-200KB,4,apultra,44.8,1070
20-200KB,5,exo,46.25,881
20-200KB,6,zx7b,46.47,1070
20-200KB,7,blz,47.82,1070
20-200KB,8,lzsa2,48.29,1073
20-200KB,9,rnc,48.74,1310
20-200KB,10,doboz,49.48,1070
200-500KB,1,lzma,33.13,128
200-500KB,2,shrinkler,34.25,128
200-500KB,3,apultra,36.88,128
200-500KB,4,csc,37.21,128
200-500KB,5,lzham,37.32,155
200-500KB,6,zx0,37.53,33
200-500KB,7,exo,38.34,137
200-500KB,8,lzsa2,38.78,128
200-500KB,9,rnc,39.19,151
200-500KB,10,zstd,39.3,155
>500KB,1,lzma,27.74,244
>500KB,2,lzham,30.14,275
>500KB,3,csc,30.6,245
>500KB,4,zstd,31.28,275
>500KB,5,shrinkler,32.17,219
>500KB,6,apultra,32.31,244
>500KB,7,lzsa2,34.46,244
>500KB,8,rnc,35.69,268
>500KB,9,exo,36.47,89
>500KB,10,blz,36.47,241
<15KB,1,zx0,53.67,375
<15KB,2,zx7b,53.77,440
<15KB,3,shrinkler,54.58,440
<15KB,4,blz,54.76,440
<15KB,5,lz4,56.54,440
<15KB,6,doboz,58.46,440
<15KB,7,apultra,58.6,440
<15KB,8,qlz,58.76,440
<15KB,9,pp,59.14,440
<15KB,10,stcr,60.59,441
15-50KB,1,shrinkler,46.05,751
15-50KB,2,zx0,46.82,643
15-50KB,3,zx7b,48.7,751
15-50KB,4,apultra,49.51,751
15-50KB,5,lzma,49.77,751
15-50KB,6,blz,50.67,751
15-50KB,7,exo,52.27,561
15-50KB,8,pp,52.58,751
15-50KB,9,doboz,52.83,751
15-50KB,10,stcr,53.07,754
50-100KB,1,shrinkler,40.14,309
50-100KB,2,lzma,40.91,309
50-100KB,3,zx0,41.62,296
50-100KB,4,apultra,42.94,309
50-100KB,5,exo,44.21,264
50-100KB,6,zx7b,45.9,309
50-100KB,7,lzsa2,45.99,309
50-100KB,8,rnc,46.55,405
50-100KB,9,blz,47.07,309
50-100KB,10,stcr,48.15,309
100-200KB,1,lzma,36.43,201
100-200KB,2,shrinkler,36.88,201
100-200KB,3,zx0,39.08,147
100-200KB,4,apultra,39.47,201
100-200KB,5,exo,39.85,185
100-200KB,6,lzsa2,41.84,201
100-200KB,7,csc,42.14,202
100-200KB,8,rnc,42.43,248
100-200KB,9,lzham,43.39,247
100-200KB,10,blz,44.16,201
200-300KB,1,lzma,33.56,71
200-300KB,2,shrinkler,34.51,71
200-300KB,3,apultra,37.02,71
200-300KB,4,lzham,37.7,87
200-300KB,5,csc,37.84,70
200-300KB,6,zx0,38.45,25
200-300KB,7,lzsa2,39.0,71
200-300KB,8,exo,39.12,87
200-300KB,9,rnc,39.52,86
200-300KB,10,zstd,39.93,87
300-400KB,1,lzma,30.85,30
300-400KB,2,shrinkler,31.92,30
300-400KB,3,csc,34.34,31
300-400KB,4,apultra,34.49,30
300-400KB,5,lzham,35.37,34
300-400KB,6,exo,35.69,30
300-400KB,7,lzsa2,36.43,30
300-400KB,8,zstd,37.04,34
300-400KB,9,rnc,38.11,35
300-400KB,10,zx0,38.45,6
400-450KB,1,lzma,31.19,10
400-450KB,2,shrinkler,32.94,10
400-450KB,3,exo,33.41,8
400-450KB,4,lzham,34.95,13
400-450KB,5,csc,35.29,10
400-450KB,6,apultra,36.22,10
400-450KB,7,zstd,36.59,13
400-450KB,8,lzsa2,38.01,10
400-450KB,9,rnc,38.12,13
400-450KB,10,lzfse,40.22,13
450-500KB,1,lzma,36.86,14
450-500KB,2,shrinkler,38.7,14
450-500KB,3,apultra,41.5,14
450-500KB,4,rnc,41.5,13
450-500KB,5,lzham,41.71,18
450-500KB,6,lzsa2,42.88,14
450-500KB,7,csc,42.95,14
450-500KB,8,zstd,43.08,18
450-500KB,9,exo,43.85,8
450-500KB,10,blz,45.81,14
500-600KB,1,lzma,33.92,18
500-600KB,2,shrinkler,35.65,18
500-600KB,3,lzham,36.64,22
500-600KB,4,csc,37.47,18
500-600KB,5,zstd,38.0,22
500-600KB,6,apultra,38.37,18
500-600KB,7,rnc,39.54,20
500-600KB,8,lzsa2,40.43,18
500-600KB,9,exo,40.91,8
500-600KB,10,lzfse,42.6,22
600-800KB,1,lzma,30.14,29
600-800KB,2,shrinkler,31.62,29
600-800KB,3,csc,33.12,29
600-800KB,4,lzham,33.27,37
600-800KB,5,apultra,33.93,29
600-800KB,6,zstd,34.5,37
600-800KB,7,lzsa2,35.89,29
600-800KB,8,exo,35.92,27
600-800KB,9,rnc,37.57,37
600-800KB,10,blz,38.28,29
800KB-1MB,1,lzma,30.54,20
800KB-1MB,2,shrinkler,32.23,20
800KB-1MB,3,lzham,33.13,23
800KB-1MB,4,csc,33.52,20
800KB-1MB,5,zstd,34.32,23
800KB-1MB,6,apultra,34.85,20
800KB-1MB,7,exo,35.86,15
800KB-1MB,8,lzsa2,36.74,20
800KB-1MB,9,rnc,37.56,22
800KB-1MB,10,blz,39.07,20
1-1.5MB,1,lzma,29.51,28
1-1.5MB,2,shrinkler,31.07,28
1-1.5MB,3,lzham,31.61,34
1-1.5MB,4,csc,32.2,28
1-1.5MB,5,zstd,32.69,34
1-1.5MB,6,apultra,33.58,28
1-1.5MB,7,lzsa2,35.86,28
1-1.5MB,8,exo,36.72,30
1-1.5MB,9,rnc,37.43,34
1-1.5MB,10,blz,37.48,28
1.5-4MB,1,lzma,27.15,71
1.5-4MB,2,shrinkler,29.07,71
1.5-4MB,3,lzham,29.32,78
1.5-4MB,4,csc,29.65,71
1.5-4MB,5,zstd,30.35,78
1.5-4MB,6,apultra,31.93,71
1.5-4MB,7,lzsa2,33.9,71
1.5-4MB,8,exo,34.42,8
1.5-4MB,9,rnc,35.1,77
1.5-4MB,10,lzfse,35.97,78
4-7.5MB,1,lzma,25.47,23
4-7.5MB,2,lzham,27.22,25
4-7.5MB,3,csc,27.95,24
4-7.5MB,4,zstd,28.28,25
4-7.5MB,5,apultra,30.46,23
4-7.5MB,6,lzsa2,32.77,23
4-7.5MB,7,lzfse,34.25,25
4-7.5MB,8,blz,34.54,23
4-7.5MB,9,rnc,34.6,25
4-7.5MB,10,doboz,35.57,23
7.5-12MB,1,lzma,25.89,19
7.5-12MB,2,lzham,26.87,19
7.5-12MB,3,zstd,27.92,19
7.5-12MB,4,csc,28.81,19
7.5-12MB,5,apultra,30.92,19
7.5-12MB,6,rnc,33.25,18
7.5-12MB,7,lzsa2,33.76,19
7.5-12MB,8,blz,33.95,19
7.5-12MB,9,lzfse,34.96,19
7.5-12MB,10,doboz,35.89,19
12-15MB,1,lzma,23.47,15
12-15MB,2,lzham,24.45,15
12-15MB,3,zstd,25.56,15
12-15MB,4,csc,25.95,15
12-15MB,5,shrinkler,26.65,10
12-15MB,6,apultra,28.49,15
12-15MB,7,lzsa2,30.67,15
12-15MB,8,lzfse,31.35,15
12-15MB,9,rnc,31.87,15
12-15MB,10,blz,31.98,15
15-20MB,1,lzma,21.0,11
15-20MB,2,shrinkler,21.25,2
15-20MB,3,lzham,22.05,11
15-20MB,4,zstd,23.24,11
15-20MB,5,csc,23.62,11
15-20MB,6,apultra,25.99,11
15-20MB,7,lzsa2,28.34,11
15-20MB,8,lzfse,29.14,11
15-20MB,9,rnc,29.73,11
15-20MB,10,blz,29.94,10
20-40MB,1,lzma,21.07,3
20-40MB,2,lzham,22.5,4
20-40MB,3,csc,23.23,3
20-40MB,4,zstd,23.68,4
20-40MB,5,apultra,25.43,3
20-40MB,6,lzsa2,27.39,3
20-40MB,7,lzfse,29.3,4
20-40MB,8,rnc,29.6,4
20-40MB,9,doboz,30.3,3
20-40MB,10,lz4,33.27,3
40-50MB,1,lzma,29.0,2
40-50MB,2,lzham,29.75,2
40-50MB,3,csc,31.6,2
40-50MB,4,zstd,31.65,2
40-50MB,5,apultra,34.6,2
40-50MB,6,lzsa2,38.03,2
40-50MB,7,rnc,39.3,2
40-50MB,8,blz,39.45,2
40-50MB,9,lzfse,39.55,2
40-50MB,10,doboz,40.65,2
>50MB,1,lzma,21.75,2
>50MB,2,lzham,24.0,2
>50MB,3,zstd,25.6,2
>50MB,4,csc,26.85,2
>50MB,5,apultra,26.85,2
>50MB,6,blz,29.9,2
>50MB,7,lzsa2,30.74,2
>50MB,8,doboz,31.3,2
>50MB,9,rnc,31.5,1
>50MB,10,lzfse,33.7,2
