codec,binary,orig_bytes,packed_bytes,comp_time_s,decomp_time_s,ratio_pct,comp_mib_s,decomp_mib_s,source_file
apultra,/usr/bin/ls[0m,151344.0,66100.0,2.60647816,0.001303343,43.0,0.055374,110.739843,speed_apultra_1.txt
apultra,/usr/bin/putty[0m,1354680.0,484286.0,3.16838371,0.014298583,35.0,0.407754,90.353218,speed_apultra_1.txt
apultra,/usr/bin/ls[0m,151344.0,66100.0,2.606704527,0.001005268,43.0,0.055369,143.575643,speed_apultra_1.txt
apultra,/usr/bin/lsusb[0m,253000.0,73054.0,6.215359084,0.001594649,28.0,0.038819,151.305396,speed_apultra_1.txt
apultra,/usr/bin/nano[0m,287480.0,122510.0,2.809592306,0.002507635,42.0,0.09758,109.330903,speed_apultra_1.txt
apultra,/usr/bin/strace[0m,2034104.0,549596.0,6.024280976,0.011438572,27.0,0.322008,169.590399,speed_apultra_1.txt
apultra,/usr/bin/scalar[0m,2199656.0,940090.0,5.335980733,0.017009541,42.0,0.393133,123.328136,speed_apultra_1.txt
apultra,/usr/bin/lsusb[0m,253000.0,73054.0,6.214723034,0.002067049,28.0,0.038823,116.726308,speed_apultra_1.txt
apultra,/usr/bin/nasm[0m,1923760.0,371094.0,5.971597804,0.008157634,19.0,0.307227,224.898542,speed_apultra_1.txt
apultra,/usr/bin/rsync[0m,514440.0,230092.0,4.766197472,0.005324225,44.0,0.102934,92.146368,speed_apultra_1.txt
apultra,/usr/bin/dmesg[0m,88656.0,33685.0,1.804495835,0.00075427,37.0,0.046854,112.092486,speed_apultra_1.txt
apultra,/usr/bin/cat[0m,44016.0,20379.0,0.903446535,0.00048961,46.0,0.046462,85.733543,speed_apultra_1.txt
apultra,/usr/bin/fio[0m,1795000.0,364656.0,5.419970593,0.011469165,20.0,0.31584,149.256288,speed_apultra_1.txt
apultra,/usr/bin/dmesg[0m,88656.0,33685.0,1.85875138,0.000692151,37.0,0.045486,122.152536,speed_apultra_1.txt
apultra,/usr/bin/scalar[0m,2199656.0,940090.0,5.236798021,0.018390988,42.0,0.400579,114.06429,speed_apultra_1.txt
apultra,/usr/bin/htop[0m,317320.0,125230.0,3.458478013,0.00262911,39.0,0.0875,115.103209,speed_apultra_1.txt
apultra,/usr/bin/nano[0m,287480.0,122510.0,2.760068812,0.00252136,42.0,0.099331,108.735761,speed_apultra_1.txt
apultra,/usr/bin/w3m[0m,1630888.0,895376.0,3.167903503,0.014746103,54.0,0.490966,105.474307,speed_apultra_1.txt
apultra,/usr/bin/fio[0m,1795000.0,364656.0,5.423583179,0.01641128,20.0,0.315629,104.309048,speed_apultra_1.txt
apultra,/usr/bin/bash[0m,1265648.0,540629.0,2.92031276,0.009368837,42.0,0.413317,128.832959,speed_apultra_1.txt
apultra,/usr/bin/rsync[0m,514440.0,230092.0,4.917923151,0.004569302,44.0,0.099759,107.370447,speed_apultra_1.txt
apultra,/usr/bin/grep[0m,203152.0,87797.0,3.458718239,0.001749815,43.0,0.056014,110.720276,speed_apultra_1.txt
apultra,/usr/bin/putty[0m,1354680.0,484286.0,3.320601578,0.018448182,35.0,0.389062,70.029827,speed_apultra_1.txt
apultra,/usr/bin/grep[0m,203152.0,87797.0,3.409745306,0.0015503,43.0,0.056819,124.96936,speed_apultra_1.txt
apultra,/usr/bin/wget[0m,470384.0,201617.0,4.41426375,0.004221338,42.0,0.101623,106.267965,speed_apultra_1.txt
apultra,/usr/bin/cat[0m,44016.0,20379.0,0.852909591,0.000293939,46.0,0.049215,142.805139,speed_apultra_1.txt
apultra,/usr/bin/wget[0m,470384.0,201617.0,4.563435096,0.003935482,42.0,0.098301,113.9868,speed_apultra_1.txt
apultra,/usr/bin/scalar[0m,2199656.0,940090.0,5.396791387,0.025024426,42.0,0.388704,83.828296,speed_apultra_1.txt
